issue_number,title,release_date,description,Key Issue
001,Star Wars: A New Hope,01/15/1977,"This issue follows Star Wars: A New Hope, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",Yes
002,Six Against the Galaxy,02/19/1977,"This issue follows Six Against the Galaxy, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",Yes
003,Death Star!,03/26/1977,"This issue follows Death Star!, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",Yes
004,In Battle with Darth Vader,04/11/1977,"This issue follows In Battle with Darth Vader, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",Yes
005,"Lo, The Moons of Yavin!",05/07/1977,"This issue follows Lo, The Moons of Yavin!, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",Yes
006,Is This the Final Chapter?,06/19/1977,"This issue follows Is This the Final Chapter?, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",Yes
007,"New Planets, New Perils!",07/13/1977,"This issue follows New Planets, New Perils!, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",Yes
008,Eight for Aduba-3,08/07/1977,"This issue follows Eight for Aduba-3, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",Yes
009,Showdown on a Wasteland World,09/04/1977,"This issue follows Showdown on a Wasteland World, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",Yes
010,Behemoth from the World Below,10/24/1977,"This issue follows Behemoth from the World Below, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
011,Star Search,11/25/1977,"This issue follows Star Search, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
012,Doomworld,12/13/1977,"This issue follows Doomworld, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
013,The Sound of Armageddon,01/21/1978,"This issue follows The Sound of Armageddon, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
014,The Day after the Death Star,02/10/1978,"This issue follows The Day after the Death Star, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
015,Star Duel,03/02/1978,"This issue follows Star Duel, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
016,The Hunter,04/24/1978,"This issue follows The Hunter, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",Yes
017,The Empire Strikes,05/04/1978,"This issue follows The Empire Strikes, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
018,The Flame Winds of Oseon,06/04/1978,"This issue follows The Flame Winds of Oseon, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
019,The Ultimate Gamble,07/01/1978,"This issue follows The Ultimate Gamble, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This is a key issue because it introduces a major character or event that impacts the Star Wars universe.",Yes
020,Deathgame,08/22/1978,"This issue follows Deathgame, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
021,The Empire Strikes Back: Beginning,09/28/1978,"This issue follows The Empire Strikes Back: Beginning, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
022,The Search Begins,10/14/1978,"This issue follows The Search Begins, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
023,Flight into Fury,11/25/1978,"This issue follows Flight into Fury, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
024,Siege at Yavin,12/24/1978,"This issue follows Siege at Yavin, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",Yes
025,Return to Tatooine,01/28/1979,"This issue follows Return to Tatooine, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
026,Droid World,02/23/1979,"This issue follows Droid World, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
027,Dark Encounter,03/23/1979,"This issue follows Dark Encounter, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
028,Cavern of the Crawling Death,04/04/1979,"This issue follows Cavern of the Crawling Death, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
029,What Ever Happened to Jabba the Hut?,05/23/1979,"This issue follows What Ever Happened to Jabba the Hut?, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
030,A Princess Alone,06/20/1979,"This issue follows A Princess Alone, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
031,The Jawa Express,07/10/1979,"This issue follows The Jawa Express, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
032,Darth Vader Strikes,08/09/1979,"This issue follows Darth Vader Strikes, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
033,The Mandalore Plot,09/07/1979,"This issue follows The Mandalore Plot, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",Yes
034,The Third Law,10/11/1979,"This issue follows The Third Law, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This is a key issue because it introduces a major character or event that impacts the Star Wars universe.",No
035,Day of the Dragon Lords,11/20/1979,"This issue follows Day of the Dragon Lords, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",Yes
036,Doom Mission,12/23/1979,"This issue follows Doom Mission, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",Yes
037,The Last Jedi,01/08/1980,"This issue follows The Last Jedi, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
038,Thunder in the Stars,02/04/1980,"This issue follows Thunder in the Stars, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
039,The Last Jedi!,03/09/1980,"This issue follows The Last Jedi!, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",Yes
040,Return to Cloud City,04/20/1980,"This issue follows Return to Cloud City, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This is a key issue because it introduces a major character or event that impacts the Star Wars universe.",Yes
041,Bounty Hunters!,05/14/1980,"This issue follows Bounty Hunters!, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",Yes
042,Riders in the Void,06/27/1980,"This issue follows Riders in the Void, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",Yes
043,The Long Hunt,07/28/1980,"This issue follows The Long Hunt, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",Yes
044,The Crimson Forever,08/09/1980,"This issue follows The Crimson Forever, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",Yes
045,Dark Lord's Gambit,09/21/1980,"This issue follows Dark Lord's Gambit, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
046,Whatever Happened to the Crimson Forever?,10/18/1980,"This issue follows Whatever Happened to the Crimson Forever?, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
047,The Second Kessel Run,11/14/1980,"This issue follows The Second Kessel Run, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",Yes
048,Hide in Plain Sight,12/17/1980,"This issue follows Hide in Plain Sight, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",Yes
049,To Take the Tarkin,01/27/1981,"This issue follows To Take the Tarkin, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This is a key issue because it introduces a major character or event that impacts the Star Wars universe.",Yes
050,Race for Survival,02/12/1981,"This issue follows Race for Survival, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",Yes
051,The Omega Frost,03/20/1981,"This issue follows The Omega Frost, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
052,To the Last Gladiator,04/09/1981,"This issue follows To the Last Gladiator, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
053,The Apprentice,05/11/1981,"This issue follows The Apprentice, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
054,The Quest for Qui-Gon,06/25/1981,"This issue follows The Quest for Qui-Gon, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
055,Assault on a Rogue City,07/12/1981,"This issue follows Assault on a Rogue City, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
056,Return to Yavin,08/11/1981,"This issue follows Return to Yavin, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",Yes
057,Mission to Ord Mantell,09/18/1981,"This issue follows Mission to Ord Mantell, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
058,Cloud City Showdown,10/11/1981,"This issue follows Cloud City Showdown, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
059,The Search for Han Solo,11/21/1981,"This issue follows The Search for Han Solo, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This is a key issue because it introduces a major character or event that impacts the Star Wars universe.",Yes
060,Battle on Hoth,12/01/1981,"This issue follows Battle on Hoth, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
061,Scourge of the Empire,01/18/1982,"This issue follows Scourge of the Empire, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
062,Into the Fire,02/01/1982,"This issue follows Into the Fire, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
063,The Emperor Commands,03/13/1982,"This issue follows The Emperor Commands, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
064,Imperial Pursuit,04/11/1982,"This issue follows Imperial Pursuit, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
065,Bounty on Solo,05/10/1982,"This issue follows Bounty on Solo, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
066,Secret of the Sarlacc,06/13/1982,"This issue follows Secret of the Sarlacc, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
067,The Assassins of Kamino,07/22/1982,"This issue follows The Assassins of Kamino, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
068,Into the Core,08/22/1982,"This issue follows Into the Core, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",Yes
069,The Secret of Tagge's Treasure,09/24/1982,"This issue follows The Secret of Tagge's Treasure, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",Yes
070,The Lords of the Sith,10/23/1982,"This issue follows The Lords of the Sith, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",Yes
071,Return to Tatooine,11/28/1982,"This issue follows Return to Tatooine, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",Yes
072,The Great Heist,12/16/1982,"This issue follows The Great Heist, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
073,Sundown,01/15/1983,"This issue follows Sundown, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
074,The Crimson Jack Saga,02/22/1983,"This issue follows The Crimson Jack Saga, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
075,Jedi Confrontation,03/01/1983,"This issue follows Jedi Confrontation, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
076,A Duel of the Jedi,04/04/1983,"This issue follows A Duel of the Jedi, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This is a key issue because it introduces a major character or event that impacts the Star Wars universe.",Yes
077,A Wookiee's Vengeance,05/22/1983,"This issue follows A Wookiee's Vengeance, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
078,The Desert Path,06/11/1983,"This issue follows The Desert Path, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This is a key issue because it introduces a major character or event that impacts the Star Wars universe.",Yes
079,The Stars of Tatooine,07/15/1983,"This issue follows The Stars of Tatooine, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
080,From the Ashes,08/03/1983,"This issue follows From the Ashes, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
081,Death in the City,09/11/1983,"This issue follows Death in the City, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This is a key issue because it introduces a major character or event that impacts the Star Wars universe.",Yes
082,The Plague of Darth Vader,10/03/1983,"This issue follows The Plague of Darth Vader, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
083,The Rebellion on Yavin,11/19/1983,"This issue follows The Rebellion on Yavin, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
084,Hutt Showdown,12/10/1983,"This issue follows Hutt Showdown, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This is a key issue because it introduces a major character or event that impacts the Star Wars universe.",No
085,Fire Across the Galaxy,01/13/1984,"This issue follows Fire Across the Galaxy, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
086,The Last Stand on Yavin,02/01/1984,"This issue follows The Last Stand on Yavin, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
087,Wookiee Warpath,03/16/1984,"This issue follows Wookiee Warpath, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
088,The Star Warriors,04/16/1984,"This issue follows The Star Warriors, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",Yes
089,Luke Skywalker's Run,05/04/1984,"This issue follows Luke Skywalker's Run, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This is a key issue because it introduces a major character or event that impacts the Star Wars universe.",No
090,Wookiee Rage,06/14/1984,"This issue follows Wookiee Rage, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
091,The Hidden Fist of Vader,07/23/1984,"This issue follows The Hidden Fist of Vader, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",Yes
092,Escape from Yavin,08/16/1984,"This issue follows Escape from Yavin, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
093,Dark Forces Rising,09/07/1984,"This issue follows Dark Forces Rising, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
094,The Hutt Gambit,10/06/1984,"This issue follows The Hutt Gambit, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",Yes
095,Vader's Secret Plan,11/20/1984,"This issue follows Vader's Secret Plan, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
096,The Rise of the Empire,12/14/1984,"This issue follows The Rise of the Empire, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
097,Return to Yavin,01/28/1985,"This issue follows Return to Yavin, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
098,The Long Goodbye,02/18/1985,"This issue follows The Long Goodbye, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
099,The Beginning of the End,03/11/1985,"This issue follows The Beginning of the End, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
100,Death Comes to Tatooine,04/03/1985,"This issue follows Death Comes to Tatooine, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
101,Rescue on Endor,05/26/1985,"This issue follows Rescue on Endor, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
102,The Path of the Jedi,06/14/1985,"This issue follows The Path of the Jedi, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
103,The Saga Concludes,07/06/1985,"This issue follows The Saga Concludes, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
104,The Last Hope,08/05/1985,"This issue follows The Last Hope, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
105,Star Wars Marvel Comic #105,09/13/1985,"This issue follows Star Wars Marvel Comic #105, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",No
106,Star Wars Marvel Comic #106,10/09/1985,"This issue follows Star Wars Marvel Comic #106, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",Yes
107,Star Wars Marvel Comic #107,11/23/1985,"This issue follows Star Wars Marvel Comic #107, featuring notable characters such as Luke Skywalker, Leia, and Han Solo. This issue explores another adventure of the Star Warriors as they continue their fight against the Empire.",Yes